Accessions,accession_base,country_clean,host_clean,year,length,sample_type_clean,keep_for_main_country_tree,exact_duplicate_of,analysis_note
MN549411,MN549411,India,Bat,2019.0,18124,lung,True,,
MW535746,MW535746,Thailand,Bat,2017.0,18236,urine,True,,
NC_002728,NC_002728,Unknown,Unknown,,18246,Unknown,True,,
OK572974,OK572974,Unknown,Unknown,,18769,Unknown,True,,
OK573014,OK573014,USA,Unknown,,18142,Unknown,True,,
OM135495,OM135495,India,Human,2021.0,18005,Unknown,True,,
OR130496,OR130496,India,Human,2019.0,18124,Unknown,True,,
OR820506,OR820506,India,Human,2023.0,18221,oronasopharynx,True,,
OR820507,OR820507,India,Human,2023.0,18150,oronasopharynx,True,,
OR820508,OR820508,India,Human,2023.0,18190,oronasopharynx,True,,
PP554503,PP554503,India,Bat,2023.0,18181,Unknown,True,,
PP554504,PP554504,India,Bat,2023.0,18164,"spleen, abdominal cavity",True,,
PP893186,PP893186,Sri Lanka,Bat,2018.0,18017,urine,True,,
PP893188,PP893188,Sri Lanka,Bat,2019.0,17952,urine,True,,
PP981664,PP981664,Bangladesh,Human,2017.0,18077,oronasopharynx,True,,
PP981665,PP981665,Bangladesh,Human,2017.0,18077,oronasopharynx,True,,
PP981666,PP981666,Bangladesh,Human,2018.0,18077,oronasopharynx,True,,
PP981667,PP981667,Bangladesh,Human,2019.0,18077,oronasopharynx,True,,
PP981668,PP981668,Bangladesh,Human,2020.0,18077,lung,True,,
PP981669,PP981669,Bangladesh,Human,2020.0,18077,oronasopharynx,True,,
PP981670,PP981670,Bangladesh,Human,2020.0,18077,oronasopharynx,True,,
PP981671,PP981671,Bangladesh,Human,2020.0,18077,oronasopharynx,True,,
PP981672,PP981672,Bangladesh,Human,2020.0,18077,oronasopharynx,True,,
PP981673,PP981673,Bangladesh,Human,2022.0,18077,oronasopharynx,True,,
PP981674,PP981674,Bangladesh,Human,2022.0,18077,oronasopharynx,True,,
PP981675,PP981675,Bangladesh,Human,2022.0,18096,oronasopharynx,True,,
PP981676,PP981676,Bangladesh,Human,2023.0,18092,oronasopharynx,True,,
PP981677,PP981677,Bangladesh,Human,2023.0,18091,oronasopharynx,True,,
PP981678,PP981678,Bangladesh,Human,2023.0,18091,oronasopharynx,True,,
PP981679,PP981679,Bangladesh,Human,2023.0,18107,oronasopharynx,True,,
PP981680,PP981680,Bangladesh,Human,2023.0,18088,oronasopharynx,True,,
PP981681,PP981681,Bangladesh,Human,2023.0,18090,oronasopharynx,True,,
PP981682,PP981682,Bangladesh,Human,2023.0,18090,blood,True,,
PP981683,PP981683,Bangladesh,Human,2023.0,18090,oronasopharynx,True,,
PP981684,PP981684,Bangladesh,Human,2023.0,18087,oronasopharynx,True,,
PQ368168,PQ368168,Bangladesh,Human,2023.0,18090,urine,True,,
PQ368169,PQ368169,Bangladesh,Human,2023.0,18107,mammalian milk,True,,
PQ368170,PQ368170,Bangladesh,Bat,2012.0,18090,Unknown,True,,
PQ463988,PQ463988,Malaysia,Human,1998.0,18131,Unknown,True,,
PV132706,PV132706,Bangladesh,Human,2024.0,18133,oronasopharynx,True,,
PV132707,PV132707,Bangladesh,Human,2024.0,18128,oronasopharynx,True,,
PV640869,PV640869,India,Human,2025.0,18168,Unknown,True,,
PV892943,PV892943,Bangladesh,Unknown,,18096,Unknown,True,,
PX130164,PX130164,Bangladesh,Human,2025.0,18126,blood,True,,
PX130165,PX130165,Bangladesh,Human,2025.0,18128,oronasopharynx,True,,
PX130166,PX130166,Bangladesh,Human,2025.0,18124,oronasopharynx,True,,
