Accessions,strain,date,date_released,date_updated,region,country,location,length,host,is_lab_host,sra_accessions,authors,full_authors,institution,submitter_country,sample_type,url,accession_base,country_clean,host_clean,year,sample_type_clean,analysis_note,exact_duplicate_of,keep_for_main_country_tree
JN808863,NIVBGD2008RAJBARI,2008-XX-XX,2012-02-04,2012-02-04,Asia,Bangladesh,Rajbari,18252,Homo sapiens,False,,Lo et al.,"Lo,M.K.,Lowe,L.,Hummel,K.B.,Sazzad,H.M.,Gurley,E.S.,Hossain,M.J.,Luby,S.P.,Miller,D.M.,Comer,J.A.,Rollin,P.E.,Bellini,W.J.,Rota,P.A.,Sazzad,H.M.S.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/JN808863,JN808863,Bangladesh,Human,2008,oronasopharynx,,exact_duplicate_of_JN808857,False
JN808864,NIVBGD2010FARIDPUR,2010-XX-XX,2012-02-04,2012-02-04,Asia,Bangladesh,Faridpur,18167,Homo sapiens,False,,Lo et al.,"Lo,M.K.,Lowe,L.,Hummel,K.B.,Sazzad,H.M.,Gurley,E.S.,Hossain,M.J.,Luby,S.P.,Miller,D.M.,Comer,J.A.,Rollin,P.E.,Bellini,W.J.,Rota,P.A.,Sazzad,H.M.S.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/JN808864,JN808864,Bangladesh,Human,2010,oronasopharynx,,,True
KY425646,IRF0160,1999-XX-XX,2017-01-15,2017-01-15,Asia,Malaysia,,18212,Homo sapiens,True,,Johnson et al.,"Johnson,J.C.,Sword,J.M.,Wohl,S.,Barnes,K.G.,Sabeti,P.C.,Hensley,L.E.,Olinger,G.,Jahrling,P.B.,Honko,A.N.","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Integrated Research Facility - Frederick",USA,,https://www.ncbi.nlm.nih.gov/nuccore/KY425646,KY425646,Malaysia,Human,1999,Unknown,,,True
KY425655,IRF0158,1999-XX-XX,2017-01-15,2017-01-15,Asia,Malaysia,,18214,Homo sapiens,True,,Honko et al.,"Honko,A.N.,Hensley,L.E.,Wohl,S.,Barnes,K.G.,Sabeti,P.C.,Olinger,G.,Jahrling,P.B.,Sword,J.M.","National Institute of Allergy and Infectious Diseases, National Institutes of Health, Integrated Research Facility - Frederick",USA,,https://www.ncbi.nlm.nih.gov/nuccore/KY425655,KY425655,Malaysia,Human,1999,Unknown,,,True
MH396625,MCL-18-H-1088,5/17/2018,2018-11-01,2018-11-01,Asia,India,Kerala State,18210,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MH396625,MH396625,India,Human,2018,oronasopharynx,,,True
MH523640,MCL-18-H-1197,5/17/2018,2019-04-01,2019-04-01,Asia,India,Kerala State,18132,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,lung,https://www.ncbi.nlm.nih.gov/nuccore/MH523640,MH523640,India,Human,2018,lung,,,True
MH523641,MCL-18-H-1209,5/21/2018,2019-04-01,2019-04-01,Asia,India,Kerala State,18027,Homo sapiens,False,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MH523641,MH523641,India,Human,2018,oronasopharynx,,,True
MH523642,MCL-18-H-1088,5/17/2018,2019-04-01,2019-04-01,Asia,India,Kerala State,18242,Homo sapiens,True,,Yadav et al.,"Yadav,P.D.","National Institute of Virology, Maximum Containment Laboratory",India,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MH523642,MH523642,India,Human,2018,oronasopharynx,,,True
MK336155,NIV1854542,5/17/2018,2020-06-30,2020-06-30,Asia,India,Kerala State,18211,Homo sapiens,True,,Yadav et al.,"Yadav,P.","National Institute of Virology, Maximum Containment Laboratory",India,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK336155,MK336155,India,Human,2018,oronasopharynx,,,True
MK336156,NIV1854542,5/17/2018,2020-06-30,2020-06-30,Asia,India,Kerala State,18233,Homo sapiens,True,,Yadav et al.,"Yadav,P.","National Institute of Virology, Maximum Containment Laboratory",India,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK336156,MK336156,India,Human,2018,oronasopharynx,,,True
MK575060,NiV/BD/P.medius/EHA/2013/Raypur1401,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575060,MK575060,Bangladesh,Bat,2013,urine,,,True
MK575061,NiV/BD/P.medius/EHA/2013/Raypur1402,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575061,MK575061,Bangladesh,Bat,2013,urine,,,True
MK575062,NiV/BD/P.medius/EHA/2013/Raypur1403,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575062,MK575062,Bangladesh,Bat,2013,urine,,,True
MK575063,NiV/BD/P.medius/EHA/2013/Raypur1404,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18227,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575063,MK575063,Bangladesh,Bat,2013,urine,,,True
MK575064,NiV/BD/P.medius/EHA/2013/Raypur1405,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575064,MK575064,Bangladesh,Bat,2013,urine,,,True
MK575065,NiV/BD/P.medius/EHA/2013/Raypur1406,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575065,MK575065,Bangladesh,Bat,2013,urine,,,True
MK575066,NiV/BD/P.medius/EHA/2013/Raypur1408,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575066,MK575066,Bangladesh,Bat,2013,urine,,,True
MK575067,NiV/BD/P.medius/EHA/2013/Raypur1409,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575067,MK575067,Bangladesh,Bat,2013,urine,,,True
MK575068,NiV/BD/P.medius/EHA/2013/Raypur1410,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575068,MK575068,Bangladesh,Bat,2013,urine,,,True
MK575069,NiV/BD/P.medius/EHA/2013/Raypur1411,4/11/2013,2019-06-12,2019-06-12,Asia,Bangladesh,Maniganj,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575069,MK575069,Bangladesh,Bat,2013,urine,,,True
MK575070,NiV/BD/P.medius/EHA/2013/Sylhet191,1/6/2013,2019-06-12,2019-06-12,Asia,Bangladesh,,18234,Pteropus medius,False,,Anderson et al.,"Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.","Duke-NUS, Program of Emerging Infectious Diseases",Singapore,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK575070,MK575070,Bangladesh,Bat,2013,urine,,,True
MK673558,808579,3/25/1999,2021-04-19,2021-04-19,Asia,Malaysia,,18234,Sus scrofa domesticus,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,,https://www.ncbi.nlm.nih.gov/nuccore/MK673558,MK673558,Malaysia,Pig,1999,Unknown,,,True
MK673559,808581,3/25/1999,2021-04-19,2021-04-19,Asia,Malaysia,,18231,Sus scrofa domesticus,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,,https://www.ncbi.nlm.nih.gov/nuccore/MK673559,MK673559,Malaysia,Pig,1999,Unknown,,,True
MK673560,808585,3/26/1999,2021-04-19,2021-04-19,Asia,Malaysia,,18231,Sus scrofa domesticus,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,,https://www.ncbi.nlm.nih.gov/nuccore/MK673560,MK673560,Malaysia,Pig,1999,Unknown,,,True
MK673561,808589,1999-XX-XX,2021-04-19,2021-04-19,Asia,Malaysia,,18231,Sus scrofa domesticus,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,,https://www.ncbi.nlm.nih.gov/nuccore/MK673561,MK673561,Malaysia,Pig,1999,Unknown,,exact_duplicate_of_MK673560,False
MK673562,808651,1999-XX-XX,2021-04-19,2021-04-19,Asia,Malaysia,,18231,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,,https://www.ncbi.nlm.nih.gov/nuccore/MK673562,MK673562,Malaysia,Human,1999,Unknown,,,True
MK673563,808652,4/3/1999,2021-04-19,2021-04-19,Asia,Malaysia,,18231,Canis lupus familiaris,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,,https://www.ncbi.nlm.nih.gov/nuccore/MK673563,MK673563,Malaysia,Dog,1999,Unknown,,,True
MK673564,810398,1/22/2004,2021-04-19,2021-04-19,Asia,Bangladesh,,18240,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673564,MK673564,Bangladesh,Human,2004,oronasopharynx,,,True
MK673565,810405,2/9/2004,2021-04-19,2021-04-19,Asia,Bangladesh,,18235,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,cerebrospinal fluid,https://www.ncbi.nlm.nih.gov/nuccore/MK673565,MK673565,Bangladesh,Human,2004,cerebrospinal fluid,,,True
MK673566,810428,3/29/2004,2021-04-19,2021-04-19,Asia,Bangladesh,,18240,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,urine,https://www.ncbi.nlm.nih.gov/nuccore/MK673566,MK673566,Bangladesh,Human,2004,urine,,,True
MK673567,810482,4/19/2004,2021-04-19,2021-04-19,Asia,Bangladesh,,18245,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673567,MK673567,Bangladesh,Human,2004,oronasopharynx,,,True
MK673568,811373,2/28/2008,2021-04-19,2021-04-19,Asia,Bangladesh,,18237,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673568,MK673568,Bangladesh,Human,2008,oronasopharynx,,,True
MK673570,812001,2/11/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18231,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673570,MK673570,Bangladesh,Human,2011,oronasopharynx,,,True
MK673571,201200903,2/1/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18240,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673571,MK673571,Bangladesh,Human,2011,oronasopharynx,,,True
MK673572,201200905,2/1/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18105,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673572,MK673572,Bangladesh,Human,2011,oronasopharynx,,,True
MK673573,201200919,2/2/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18236,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673573,MK673573,Bangladesh,Human,2011,oronasopharynx,,,True
MK673574,201200920,2/3/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18205,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673574,MK673574,Bangladesh,Human,2011,oronasopharynx,,,True
MK673575,201200938,2/10/2011,2021-04-19,2021-04-19,Asia,Bangladesh,,18238,Homo sapiens,False,,Whitmer et al.,"Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.","Centers for Disease Control and Prevention, Viral Special Pathogens",USA,oronasopharynx,https://www.ncbi.nlm.nih.gov/nuccore/MK673575,MK673575,Bangladesh,Human,2011,oronasopharynx,,,True
